id,label,type,source,target,weight,icon,color,size
N0,UQQNU337,node,,,,icon4.png,#1b8d86,8
N1,UNLGR685,node,,,,,#52575d,8
N2,UMZKQ546,node,,,,,#50d45e,8
N3,ISPZK436,node,,,,icon5.png,#682d50,15
N4,HZMBG560,node,,,,icon3.png,#ef4ced,8
N5,LODVP420,node,,,,icon4.png,#b89847,9
N6,XYJNU797,node,,,,,#a169c4,13
N7,OFQSS448,node,,,,icon7.png,#a39766,19
N8,MBDGW112,node,,,,,#16417b,18
N9,WVLNL237,node,,,,icon7.png,#fd1120,6
N10,JGQBX532,node,,,,,#51d6c7,9
N11,WNIQH763,node,,,,,#019f49,6
N12,QBMWA253,node,,,,,#db1ac0,6
N13,JCDBS301,node,,,,icon4.png,#c3c01c,16
N14,LWSQA174,node,,,,icon8.png,#7d8c92,6
N15,GBRUP453,node,,,,,#091b05,20
N16,UYWUI320,node,,,,icon2.png,#c49b38,6
N17,PRDWR243,node,,,,icon10.png,#dfeca4,19
N18,BDCQJ676,node,,,,,#bc7694,20
N19,QCJQW767,node,,,,icon1.png,#1e06d4,12
N20,CZILN911,node,,,,icon7.png,#274a1e,7
N21,NSOFU482,node,,,,,#3645f8,14
N22,VVSZS331,node,,,,icon8.png,#6f90d9,20
N23,TZPKR689,node,,,,icon6.png,#d4d334,19
N24,RRWIC973,node,,,,icon4.png,#b5330d,19
N25,SKYFU569,node,,,,icon1.png,#b2d272,9
N26,KYWAH705,node,,,,icon7.png,#73eb95,18
N27,HVUTZ313,node,,,,icon3.png,#1ca135,17
N28,SUJVK140,node,,,,icon9.png,#2e4432,5
N29,LEPDD319,node,,,,icon5.png,#97b3ff,7
N30,LBPPV818,node,,,,icon2.png,#1a02d9,12
N31,LPYKG220,node,,,,icon1.png,#f15086,17
N32,BBIVK529,node,,,,,#b454b5,12
N33,TXBFI631,node,,,,icon8.png,#b62d7b,19
N34,CAUUC504,node,,,,,#fee055,13
N35,MRKKX512,node,,,,,#3ce8e7,9
N36,BJUSA351,node,,,,,#ca1370,17
N37,DOZOU373,node,,,,icon9.png,#fb2171,14
N38,PYKER397,node,,,,,#161666,6
N39,AIKMG305,node,,,,,#647ea4,16
N40,VWTVR237,node,,,,icon8.png,#1bb787,19
N41,KAUHI909,node,,,,,#c434d4,6
N42,CCIEI635,node,,,,icon3.png,#788239,18
N43,PVIBR356,node,,,,icon10.png,#a34609,18
N44,ZFURE793,node,,,,icon2.png,#67725c,15
N45,PVFWH997,node,,,,icon4.png,#0ee452,18
N46,SHHBH684,node,,,,,#e80a49,20
N47,NVLGI795,node,,,,icon5.png,#18c830,18
N48,VNWZH960,node,,,,,#766239,13
N49,TAGZG781,node,,,,icon8.png,#9fc9a3,5
N50,TEBKC865,node,,,,icon6.png,#d6461b,16
N51,EWUOX518,node,,,,icon8.png,#2ae510,13
N52,GBDFG388,node,,,,icon10.png,#fcfa81,10
N53,ECIQO800,node,,,,icon10.png,#2506d3,12
N54,TLNKP743,node,,,,,#5182f6,11
N55,PPBKO892,node,,,,,#33a385,11
N56,IJEOZ285,node,,,,,#58d0cd,16
N57,GHFUY778,node,,,,icon4.png,#7c937f,19
N58,FZMWS814,node,,,,icon5.png,#59a46c,6
N59,GYTNW824,node,,,,icon2.png,#31d793,20
N60,KCGQN907,node,,,,icon9.png,#e4959f,8
N61,HTRMY658,node,,,,,#5d6656,15
N62,IESRB762,node,,,,icon4.png,#9b33e4,7
N63,PANAN683,node,,,,,#5c704b,19
N64,DORBX276,node,,,,icon9.png,#d46f7a,14
N65,MJDFM458,node,,,,icon2.png,#083f8b,19
N66,EFDDM643,node,,,,icon4.png,#15fb44,12
N67,ZMWWR245,node,,,,,#8beaad,6
N68,FJXOQ909,node,,,,icon4.png,#6c150c,5
N69,JQAEJ190,node,,,,,#5afcfe,15
N70,QDNWC478,node,,,,,#c71b55,19
N71,FYZXJ935,node,,,,icon4.png,#8a5b4a,6
N72,VSCPB665,node,,,,icon9.png,#52eb90,5
N73,LDPOL812,node,,,,icon8.png,#4de02c,18
N74,AEYWW333,node,,,,,#0dc4ea,19
N75,VEAPA239,node,,,,icon2.png,#772845,6
N76,JTXEJ941,node,,,,icon8.png,#a46b40,6
N77,ZYJQJ338,node,,,,icon3.png,#373798,10
N78,LEVVN308,node,,,,icon5.png,#4ec56d,19
N79,CZNVW900,node,,,,,#568d97,16
N80,YXEGR500,node,,,,icon10.png,#5efc80,17
N81,AXQGI695,node,,,,,#568631,7
N82,SDSMX528,node,,,,,#0fe461,14
N83,BYEQV229,node,,,,icon2.png,#aa4fa9,20
N84,FMQAI897,node,,,,icon3.png,#037326,14
N85,ZEUSX807,node,,,,icon3.png,#bfde17,19
N86,ETWEP299,node,,,,icon1.png,#ea9e1f,16
N87,KOZGR498,node,,,,icon8.png,#eac48e,17
N88,HJKQE228,node,,,,icon9.png,#c8291a,10
N89,CQNOD646,node,,,,icon10.png,#4b206c,9
N90,ROLSO589,node,,,,,#e9c9ba,5
N91,TKENC645,node,,,,icon5.png,#423b18,9
N92,WXQJW745,node,,,,icon3.png,#7ac69c,8
N93,WUVDB315,node,,,,icon5.png,#8aed7e,6
N94,LJSWO406,node,,,,icon7.png,#331d0d,15
N95,QBFZZ260,node,,,,icon7.png,#4b1fae,19
N96,HBDCP171,node,,,,,#850568,8
N97,DJLKD533,node,,,,icon5.png,#d2248d,15
N98,MEHBF418,node,,,,,#43a2f0,20
N99,NSWMF903,node,,,,icon4.png,#747666,11
N100,VKQYH977,node,,,,,#6e29ca,10
N101,KVKUA397,node,,,,icon1.png,#aae0b7,14
N102,CZQEU791,node,,,,icon4.png,#9e7dad,18
N103,FADUE359,node,,,,icon1.png,#228718,20
N104,HGWBI547,node,,,,,#bce9ca,20
N105,RDPCL626,node,,,,icon3.png,#095d38,9
N106,OEMVR201,node,,,,icon8.png,#2029b1,6
N107,LRZAR617,node,,,,,#652c99,15
N108,UDNLD754,node,,,,icon4.png,#10a394,10
N109,KLUCE357,node,,,,icon4.png,#3d8fa9,18
N110,VZMJY195,node,,,,icon9.png,#4941c1,11
N111,OVKAF770,node,,,,icon6.png,#37c360,14
N112,PEPDG952,node,,,,,#b271ea,20
N113,ZFIGA277,node,,,,,#219d72,10
N114,ZFPKQ474,node,,,,icon4.png,#7d4ebd,13
N115,INYQO103,node,,,,,#60418a,6
N116,FFSBX168,node,,,,icon7.png,#a0430f,19
N117,TJNEM851,node,,,,,#e677e0,6
N118,NXXOK223,node,,,,icon5.png,#65cbda,17
N119,BSAUF292,node,,,,,#2637f2,13
N120,UHANA235,node,,,,icon3.png,#f6656d,13
